State,Latitude,Longitude,ConfirmedCases
Wyoming,43,-107.5,4006
West Virginia,38.63,-80.73,11289
Wisconsin,44.5,-90,80300
Washington,47.5,-120.5,76542
Vermont,44.1584,-72.7678,1638
Virginia,37.77,-78.24,125727
Utah,39.25,-111.75,53862
Texas,31.25,-99.25,644088
Tennessee,35.75,-86.25,156126
South Dakota,44.5,-100.25,14889
South Carolina,34,-81,124289
Rhode Island,41.4966,-71.4757,20350
Pennsylvania,40.86,-77.9,138625
Oregon,44,-120.5,27857
Oklahoma,35.5,-97.5,63142
Ohio,40.25,-83,129785
New York,43,-75.49,438772
Nevada,39.25,-116.75,71061
New Mexico,34.5,-106,21783
New Jersey,40.16,-74.49,193440
New Hampshire,43.66,-71.49,7415
Nebraska,41.5,-99.75,35664
North Dakota,47.5,-100,13334
North Carolina,35.5,-80,175815
Montana,47,-109.75,8164
Mississippi,33.503,-89.8071,86478
Missouri,38.25,-92.5,92173
Minnesota,46.25,-94.25,79713
Michigan,43.1045,-84.6165,111428
Maine,45.5,-69.24,4632
Maryland,39.4444,-77.0834,111607
Massachusetts,42.3616,-72.1839,127934
Louisiana,30.6935,-92.241,151282
Kentucky,37.79,-84.87,52464
Kansas,38.5,-98.5,45850
Indiana,40,-86.25,101290
Illinois,40,-89.25,248111
Idaho,44.0739,-114.542,33475
Iowa,42,-93.5,68997
Hawaii,20.79,-156.34,9667
Georgia,32.1598,-83.4715,262747
Florida,28.42,-81.55,642772
Delaware,38.6716,-75.4165,17589
District of Columbia,38.91,-77,14238
Connecticut,41.6227,-72.7028,53265
Colorado,39,-105.5,58635
California,37.25,-119.75,735550
Arizona,34.5,-111.5,205516
Arkansas,34.75,-92.5,63476
Alabama,32.75,-86.75,131803
Alaska,64,-150,5678
