CountyName,State,Latitude,Longitude,ConfirmedCases,Population
Alachua County,FL,29.6809,-82.3552,5498,247336
Alameda County,CA,37.6798,-121.8648,19131,1510271
Albany County,NY,42.6169,-73.977,2823,304204
Allegany County,NY,42.2585,-78.0236,92,48946
Alpine County,CA,38.6305,-119.8446,2,1175
Amador County,CA,38.4637,-120.7334,237,38091
Anderson County,TX,31.7951,-95.6887,2554,58458
Andrews County,TX,32.2885,-102.6379,388,14786
Angelina County,TX,31.2769,-94.6355,2013,86771
Aransas County,TX,28.2209,-96.8754,295,23158
Archer County,TX,33.6138,-98.6883,60,9054
Armstrong County,TX,34.9658,-101.3572,11,1901
Atascosa County,TX,28.9347,-98.5218,576,44911
Austin County,TX,29.8495,-96.275,440,28417
Bailey County,TX,34.0706,-102.8295,203,7165
Baker County,FL,30.3606,-82.3149,1248,27115
Bandera County,TX,29.729,-99.2012,109,20485
Bastrop County,TX,30.1035,-97.3242,1638,74171
Bay County,FL,30.2988,-85.5727,5491,168852
Baylor County,TX,33.616,-99.2137,14,3726
Bee County,TX,28.4248,-97.7101,1791,31861
Bell County,TX,31.0402,-97.51,4987,310235
Bexar County,TX,29.4377,-98.4722,47315,1714773
Blanco County,TX,30.2172,-98.4077,132,10497
Borden County,TX,32.7474,-101.4322,0,641
Bosque County,TX,31.8982,-97.6486,241,18212
Bowie County,TX,33.4761,-94.3949,1097,92565
Bradford County,FL,29.9315,-82.2143,835,28520
Brazoria County,TX,29.2123,-95.5313,9642,313166
Brazos County,TX,30.6529,-96.3806,5100,194851
Brevard County,FL,28.3079,-80.7834,7598,543376
Brewster County,TX,29.8231,-103.0823,203,9232
Briscoe County,TX,34.535,-101.2086,12,1637
Bronx County,NY,40.856,-73.8664,51860,1385108
Brooks County,TX,27.0383,-98.2019,272,7223
Broome County,NY,42.2087,-75.8619,1350,200600
Broward County,FL,26.1511,-80.4895,73112,1748066
Brown County,TX,31.7664,-98.958,500,38106
Burleson County,TX,30.5133,-96.6354,301,17187
Burnet County,TX,30.7338,-98.1859,663,42750
Butte County,CA,39.7252,-121.5788,2327,220000
Calaveras County,CA,38.1718,-120.6567,273,45578
Caldwell County,TX,29.8519,-97.6266,1358,38066
Calhoun County,TX,28.5138,-96.695,614,14625
Calhoun County,FL,30.4039,-85.2086,587,21381
Callahan County,TX,32.2983,-99.3739,73,13544
