Date,State,Cases
8/30/2020,OR,0
7/19/2020,NJ,0
9/5/2020,RI,0
9/5/2020,ME,0
9/5/2020,MA,0
9/5/2020,LA,0
9/5/2020,KS,0
9/5/2020,CT,0
9/5/2020,CO,0
9/4/2020,RI,0
9/4/2020,NC,0
9/4/2020,MA,0
9/3/2020,RI,0
9/3/2020,NV,0
9/2/2020,NH,0
9/1/2020,RI,0
8/31/2020,RI,0
8/31/2020,NH,0
8/30/2020,RI,0
8/30/2020,ND,0
8/30/2020,KY,0
8/30/2020,ID,0
8/30/2020,CT,0
8/29/2020,RI,0
8/29/2020,MI,0
8/29/2020,LA,0
8/29/2020,CT,0
8/28/2020,RI,0
8/27/2020,WY,0
8/27/2020,RI,0
8/25/2020,RI,0
8/24/2020,RI,0
8/23/2020,RI,0
8/23/2020,MA,0
8/23/2020,KY,0
8/23/2020,ID,0
8/23/2020,CT,0
8/22/2020,RI,0
8/22/2020,LA,0
8/22/2020,CT,0
8/21/2020,RI,0
8/21/2020,MI,0
8/20/2020,RI,0
8/20/2020,MA,0
8/20/2020,ID,0
8/19/2020,MA,0
8/18/2020,RI,0
8/18/2020,MA,0
8/17/2020,RI,0
8/17/2020,MA,0
8/16/2020,RI,0
8/16/2020,MA,0
8/16/2020,ID,0
8/16/2020,CT,0
8/15/2020,RI,0
8/15/2020,MA,0
8/15/2020,LA,0
8/15/2020,CT,0
8/14/2020,RI,0
8/14/2020,MA,0
8/13/2020,SC,0
8/13/2020,RI,0
8/13/2020,MA,0
8/12/2020,NC,0
8/12/2020,MA,0
8/11/2020,RI,0
8/10/2020,RI,0
8/9/2020,RI,0
8/9/2020,CT,0
8/8/2020,WA,0
8/8/2020,RI,0
8/8/2020,MO,0
8/8/2020,LA,0
8/8/2020,CT,0
8/7/2020,RI,0
8/6/2020,RI,0
8/4/2020,RI,0
8/4/2020,NJ,0
8/3/2020,RI,0
8/2/2020,TX,0
8/2/2020,RI,0
8/2/2020,ID,0
8/2/2020,CT,0
8/1/2020,RI,0
8/1/2020,NE,0
8/1/2020,LA,0
8/1/2020,DE,0
8/1/2020,DC,0
8/1/2020,CT,0
7/31/2020,WA,0
7/31/2020,RI,0
7/31/2020,AK,0
7/30/2020,RI,0
7/29/2020,VT,0
7/28/2020,RI,0
7/27/2020,RI,0
7/26/2020,RI,0
7/26/2020,CT,0
7/25/2020,RI,0
7/25/2020,LA,0
7/25/2020,CT,0
7/24/2020,RI,0
7/23/2020,RI,0
7/23/2020,KS,0
7/21/2020,RI,0
7/20/2020,ND,0
7/19/2020,RI,0
7/19/2020,ID,0
7/19/2020,CT,0
7/18/2020,RI,0
7/18/2020,ME,0
7/18/2020,LA,0
7/18/2020,CT,0
7/17/2020,RI,0
7/17/2020,DC,0
7/16/2020,RI,0
7/15/2020,RI,0
7/14/2020,RI,0
7/13/2020,RI,0
7/12/2020,RI,0
7/12/2020,ID,0
7/12/2020,CT,0
7/11/2020,WA,0
7/11/2020,RI,0
7/11/2020,DC,0
7/11/2020,CT,0
7/10/2020,RI,0
7/10/2020,ME,0
7/9/2020,RI,0
7/8/2020,RI,0
7/7/2020,RI,0
7/6/2020,RI,0
7/5/2020,RI,0
7/5/2020,KY,0
7/5/2020,KS,0
7/5/2020,DE,0
7/5/2020,CT,0
7/4/2020,RI,0
7/4/2020,NH,0
7/4/2020,MN,0
7/4/2020,LA,0
7/4/2020,KY,0
7/4/2020,KS,0
7/4/2020,CT,0
7/3/2020,KS,0
7/2/2020,RI,0
7/2/2020,OH,0
7/2/2020,ME,0
7/2/2020,KS,0
7/2/2020,IL,0
7/2/2020,AK,0
7/1/2020,RI,0
6/30/2020,VT,0
6/30/2020,RI,0
6/28/2020,TN,0
6/28/2020,RI,0
6/28/2020,ID,0
6/27/2020,RI,0
6/27/2020,ND,0
6/27/2020,ME,0
6/27/2020,LA,0
6/27/2020,AK,0
6/26/2020,RI,0
6/25/2020,RI,0
6/24/2020,RI,0
6/24/2020,AK,0
6/23/2020,RI,0
6/23/2020,AK,0
6/21/2020,RI,0
6/21/2020,MS,0
6/21/2020,ID,0
6/20/2020,RI,0
6/20/2020,MS,0
6/19/2020,RI,0
6/19/2020,MS,0
6/18/2020,RI,0
6/18/2020,ND,0
6/18/2020,MS,0
6/18/2020,LA,0
6/18/2020,KS,0
6/17/2020,VT,0
6/17/2020,RI,0
6/16/2020,RI,0
6/16/2020,KS,0
6/14/2020,RI,0
6/14/2020,MO,0
6/14/2020,KY,0
6/14/2020,KS,0
6/14/2020,ID,0
6/13/2020,RI,0
6/13/2020,KS,0
6/12/2020,RI,0
6/11/2020,RI,0
6/11/2020,MS,0
6/11/2020,KS,0
6/11/2020,DE,0
6/10/2020,RI,0
6/9/2020,RI,0
6/9/2020,KS,0
6/7/2020,RI,0
6/7/2020,KY,0
6/7/2020,ID,0
6/6/2020,RI,0
6/6/2020,KS,0
6/5/2020,RI,0
6/5/2020,NH,0
6/4/2020,RI,0
6/4/2020,KS,0
6/3/2020,RI,0
6/3/2020,NM,0
6/2/2020,RI,0
6/1/2020,RI,0
6/1/2020,HI,0
5/31/2020,RI,0
5/31/2020,OK,0
5/31/2020,NC,0
5/31/2020,KY,0
5/31/2020,KS,0
5/31/2020,HI,0
5/30/2020,UT,0
5/30/2020,RI,0
5/30/2020,LA,0
5/30/2020,KS,0
5/30/2020,IN,0
5/29/2020,NH,0
5/29/2020,ID,0
5/27/2020,WV,0
5/27/2020,HI,0
5/26/2020,RI,0
5/26/2020,MT,0
5/26/2020,MD,0
5/26/2020,HI,0
5/25/2020,RI,0
5/25/2020,MT,0
5/25/2020,KY,0
5/25/2020,ID,0
5/25/2020,HI,0
5/24/2020,VT,0
5/24/2020,NM,0
5/24/2020,MT,0
5/24/2020,KY,0
5/24/2020,ID,0
5/24/2020,HI,0
5/24/2020,AK,0
5/23/2020,NM,0
5/22/2020,MT,0
5/22/2020,HI,0
5/21/2020,MT,0
5/21/2020,AK,0
5/20/2020,VT,0
5/20/2020,NV,0
5/20/2020,NH,0
5/19/2020,RI,0
5/19/2020,AK,0
5/18/2020,VT,0
5/18/2020,RI,0
5/18/2020,NV,0
5/18/2020,HI,0
5/17/2020,RI,0
5/17/2020,NM,0
5/17/2020,MT,0
5/17/2020,KY,0
5/17/2020,ID,0
5/16/2020,WV,0
5/16/2020,VT,0
5/16/2020,RI,0
5/16/2020,NM,0
5/16/2020,HI,0
5/16/2020,AK,0
5/15/2020,RI,0
5/15/2020,AK,0
5/14/2020,VT,0
5/14/2020,RI,0
5/14/2020,MT,0
5/14/2020,HI,0
5/13/2020,AK,0
5/11/2020,VT,0
5/10/2020,RI,0
5/10/2020,MT,0
5/10/2020,KY,0
5/10/2020,ID,0
5/9/2020,RI,0
5/9/2020,AR,0
5/8/2020,RI,0
5/8/2020,HI,0
5/7/2020,RI,0
5/7/2020,MT,0
5/6/2020,VA,0
5/6/2020,RI,0
5/6/2020,MT,0
5/5/2020,RI,0
5/5/2020,MT,0
5/4/2020,NV,0
5/4/2020,HI,0
5/3/2020,MT,0
5/3/2020,ID,0
5/3/2020,CT,0
5/2/2020,KY,0
5/2/2020,HI,0
5/1/2020,MT,0
