State,Date,ConfirmedCases
CA,1/22/2020,0
CA,1/23/2020,0
CA,1/24/2020,0
CA,1/25/2020,0
CA,1/26/2020,2
CA,1/27/2020,1
CA,1/28/2020,0
CA,1/29/2020,1
CA,1/30/2020,0
CA,1/31/2020,0
CA,2/1/2020,0
CA,2/2/2020,0
CA,2/3/2020,2
CA,2/4/2020,0
CA,2/5/2020,0
CA,2/6/2020,0
CA,2/7/2020,0
CA,2/8/2020,0
CA,2/9/2020,0
CA,2/10/2020,0
CA,2/11/2020,1
CA,2/12/2020,0
CA,2/13/2020,1
CA,2/14/2020,0
CA,2/15/2020,0
CA,2/16/2020,0
CA,2/17/2020,0
CA,2/18/2020,1
CA,2/19/2020,0
CA,2/20/2020,0
CA,2/21/2020,3
CA,2/22/2020,0
CA,2/23/2020,0
CA,2/24/2020,1
CA,2/25/2020,0
CA,2/26/2020,2
CA,2/27/2020,1
CA,2/28/2020,2
CA,2/29/2020,4
CA,3/1/2020,0
CA,3/2/2020,8
CA,3/3/2020,4
CA,3/4/2020,14
CA,3/5/2020,14
CA,3/6/2020,17
CA,3/7/2020,19
CA,3/8/2020,12
CA,3/9/2020,63
CA,3/10/2020,27
CA,3/11/2020,41
CA,3/12/2020,26
CA,3/13/2020,118
CA,3/14/2020,98
CA,3/15/2020,117
CA,3/16/2020,119
CA,3/17/2020,183
CA,3/18/2020,184
CA,3/19/2020,211
CA,3/20/2020,279
CA,3/21/2020,207
CA,3/22/2020,301
CA,3/23/2020,482
CA,3/24/2020,403
CA,3/25/2020,528
CA,3/26/2020,850
CA,3/27/2020,858
CA,3/28/2020,832
CA,3/29/2020,649
CA,3/30/2020,936
CA,3/31/2020,1172
CA,4/1/2020,1357
CA,4/2/2020,1225
CA,4/3/2020,1358
CA,4/4/2020,1300
CA,4/5/2020,1301
CA,4/6/2020,1189
CA,4/7/2020,1161
CA,4/8/2020,1485
CA,4/9/2020,1145
CA,4/10/2020,1230
CA,4/11/2020,996
CA,4/12/2020,871
CA,4/13/2020,1004
CA,4/14/2020,1422
CA,4/15/2020,1238
CA,4/16/2020,1029
CA,4/17/2020,1294
CA,4/18/2020,1409
CA,4/19/2020,762
CA,4/20/2020,2278
CA,4/21/2020,1945
CA,4/22/2020,1874
CA,4/23/2020,1868
CA,4/24/2020,1761
CA,4/25/2020,1248
CA,4/26/2020,1108
CA,4/27/2020,1499
CA,4/28/2020,1242
CA,4/29/2020,2381
CA,4/30/2020,1527
CA,5/1/2020,1931
CA,5/2/2020,1443
CA,5/3/2020,1251
CA,5/4/2020,1244
CA,5/5/2020,2561
