Country,Confirmed,Deaths,Recovered,ControlEfficiency,Code,Group
CE,,,,,,
Eritrea,306,0,274,306000,ERI,CE
Mongolia,298,0,288,298000,MNG,CE
Cambodia,273,0,263,273000,KHM,CE
Bhutan,155,0,112,155000,BTN,CE
Seychelles,132,0,126,132000,SYC,CE
Saint Vincent and the Grenadines,58,0,56,58000,VCT,CE
Macau,46,0,46,46000,MAC,CE
Saint Lucia,26,0,25,26000,LCA,CE
Timor-Leste,26,0,25,26000,TLS,CE
Grenada,24,0,24,24000,GRD,CE
Laos,22,0,20,22000,LAO,CE
Dominica,19,0,18,19000,DMA,CE
Saint Kitts and Nevis,17,0,17,17000,KNA,CE
Holy See,12,0,12,12000,VAT,CE
Singapore,56266,27,53920,1997.037037,SGP,CE
Qatar,116765,193,113531,588.2435233,QAT,CE
Burundi,429,1,336,336,BDI,CE
Bahrain,49038,183,45589,249.1202186,BHR,CE
Sri Lanka,2947,12,2798,233.1666667,LKA,CE
Iceland,2058,10,1936,193.6,ISL,CE
Rwanda,2889,11,1754,159.4545455,RWA,CE
Ghana,43325,261,41408,158.651341,GHA,CE
Maldives,6660,26,4113,158.1923077,MDV,CE
United Arab Emirates,66617,372,58408,157.0107527,ARE,CE
Guinea,8932,53,7648,144.3018868,GIN,CE
Kuwait,79957,513,71770,139.9025341,KWT,CE
Ivory Coast,17374,113,15106,133.6814159,CIV,CE
Uzbekistan,38532,267,34576,129.4981273,UZB,CE
Oman,83769,609,78386,128.7126437,OMN,CE
Gabon,8388,53,6734,127.0566038,GAB,CE
Nepal,31117,146,18350,125.6849315,NPL,CE
Jordan,1576,11,1268,115.2727273,JOR,CE
Belarus,70285,637,68577,107.6562009,BLR,CE
Tajikistan,8277,66,7072,107.1515152,TJK,CE
Israel,101933,819,78651,96.03296703,ISR,CE
Malta,1577,10,901,90.1,MLT,CE
West Bank and Gaza,18476,125,11103,88.824,PSE,CE
Venezuela,38957,323,28453,88.08978328,VEN,CE
Liechtenstein,99,1,88,88,LIE,CE
Djibouti,5382,60,5233,87.21666667,DJI,CE
Saudi Arabia,306370,3619,278441,76.93865709,SAU,CE
Madagascar,14277,178,13332,74.8988764,MDG,CE
Mozambique,3304,20,1474,73.7,MOZ,CE
Malaysia,9257,125,8949,71.592,MYS,CE
New Zealand,1674,22,1538,69.90909091,NZL,CE
Cabo Verde,3455,37,2538,68.59459459,CPV,CE
Georgia,1394,17,1132,66.58823529,GEO,CE
Taiwan,487,7,457,65.28571429,TWN,CE
Slovakia,3316,33,2147,65.06060606,SVK,CE
Kazakhstan,104543,1415,91089,64.37385159,KAZ,CE
Azerbaijan,35105,515,32842,63.77087379,AZE,CE
Uganda,2166,20,1199,59.95,UGA,CE
Comoros,417,7,396,56.57142857,COM,CE
Burma,441,6,338,56.33333333,MMR,CE
Luxembourg,7762,124,6969,56.2016129,LUX,CE
Thailand,3390,58,3220,55.51724138,THA,CE
Sao Tome and Principe,892,15,831,55.4,STP,CE
Namibia,5538,46,2460,53.47826087,NAM,CE
Hong Kong,4657,77,3974,51.61038961,HKG,CE
Diamond Princess,712,13,651,50.07692308,,CE
Papua New Guinea,361,4,198,49.5,PNG,CE
Jamaica,1346,16,788,49.25,JAM,CE
Russia,949531,16268,765754,47.07118269,RUS,CE
Brunei,143,3,139,46.33333333,BRN,CE
South Korea,17399,309,14200,45.95469256,KOR,CE
Equatorial Guinea,4926,83,3795,45.72289157,GNQ,CE
Botswana,1308,3,136,45.33333333,BWA,CE
Bangladesh,292625,3907,175567,44.93652419,BGD,CE
Suriname,3569,57,2559,44.89473684,SUR,CE
Pakistan,292174,6231,275317,44.18504253,PAK,CE
Cyprus,1417,20,878,43.9,CYP,CE
Benin,2115,39,1705,43.71794872,BEN,CE
Armenia,42616,850,35907,42.24352941,ARM,CE
Morocco,50812,858,35040,40.83916084,MAR,CE
Cameroon,18762,408,16540,40.53921569,CMR,CE
Japan,61916,1179,47418,40.21882952,JPN,CE
India,3044940,56706,2280566,40.21736677,IND,CE
Montenegro,4313,84,3333,39.67857143,MNE,CE
Mauritania,6894,158,6203,39.25949367,MRT,CE
Czech Republic,21790,411,16087,39.14111922,CZE,CE
Nigeria,51905,997,38767,38.88365095,NGA,CE
South Africa,607045,12987,504127,38.81781782,ZAF,CE
Philippines,187249,2966,114921,38.74612272,PHL,CE
Turkey,257032,6102,236370,38.73647984,TUR,CE
Dominican,90561,1554,59949,38.57722008,DOM,CE
Paraguay,12974,192,7197,37.484375,PRY,CE
Australia,24811,502,18758,37.36653386,AUS,CE
Argentina,336802,6848,245781,35.89091706,ARG,CE
Zambia,10831,279,9942,35.6344086,ZMB,CE
Congo (Kinshasa),9811,251,8920,35.53784861,COK,CE
Norway,10299,264,9150,34.65909091,NOR,CE
Chile,395708,10792,369730,34.25963677,CHL,CE
Kyrgyzstan,42889,1055,36056,34.17630332,KGZ,CE
Kenya,32118,542,18453,34.04612546,KEN,CE
Cuba,3617,89,3006,33.7752809,CUB,CE
Togo,1275,27,903,33.44444444,TGO,CE
Croatia,7900,170,5678,33.4,HRV,CE
Mauritius,346,10,334,33.4,MUS,CE
Eswatini,4189,83,2762,33.27710843,SWZ,CE
Latvia,1333,33,1093,33.12121212,LVA,CE
Panama,85480,1878,60528,32.23003195,PAN,CE
Estonia,2265,63,2024,32.12698413,EST,CE
Guinea-Bissau,2149,33,1015,30.75757576,GNB,CE
Senegal,12850,266,8165,30.69548872,SEN,CE
Zimbabwe,5893,153,4629,30.25490196,ZWE,CE
Uruguay,1521,42,1264,30.0952381,URY,CE
Costa Rica,33084,348,10372,29.8045977,CRI,CE
Antigua and Barbuda,94,3,89,29.66666667,ATG,CE
Austria,25062,732,21406,29.2431694,AUT,CE
Monaco,154,4,116,29,MCO,CE
Central African Republic,4679,61,1755,28.7704918,CAF,CE
Haiti,8050,196,5447,27.79081633,HTI,CE
Lebanon,12191,121,3346,27.65289256,LBN,CE
South Sudan,2497,47,1290,27.44680851,SSD,CE
Somalia,3269,93,2396,25.76344086,SOM,CE
Brazil,3582362,114250,2913966,25.50517287,BRA,CE
Moldova,33072,935,22683,24.25989305,MDA,CE
Ukraine,105337,2286,53458,23.38495188,UKR,CE
Fiji,28,1,23,23,FJI,CE
Denmark,16637,622,14258,22.92282958,DNK,CE
Portugal,55452,1794,40652,22.6599777,PRT,CE
Iraq,201050,6353,143393,22.57091138,IRQ,CE
Sierra Leone,1980,69,1545,22.39130435,SLE,CE
Germany,233861,9272,207606,22.39063848,DEU,CE
Nicaragua,4311,133,2913,21.90225564,NIC,CE
Ethiopia,39033,662,14480,21.87311178,ETH,CE
Guatemala,67856,2580,56277,21.8127907,GTM,CE
Vietnam,1014,26,563,21.65384615,VNM,CE
Poland,61181,1951,41661,21.35366479,POL,CE
Bosnia and Herzegovina,17715,532,11329,21.29511278,BIH,CE
Finland,7906,334,7100,21.25748503,FIN,CE
Congo (Brazzaville),3850,77,1625,21.1038961,COG,CE
Tunisia,2738,68,1434,21.08823529,TUN,CE
Colombia,522138,16568,348940,21.0610816,COL,CE
Lithuania,2594,84,1766,21.02380952,LTU,CE
Algeria,41068,1424,28874,20.27668539,DZA,CE
