Country,Province,Latitude,Longitud,NumberOfRecords
China,Zhejiang,29.1938,119.7808,1074
China,Yunnan,25.2644,101.3868,137
China,Xinjiang,42.1974,88.1541,47
China,Tibet,32.0101,87.0364,2
China,Tianjin,39.4079,117.3391,58
China,Sichuan,30.2696,102.2976,381
China,Shanxi,37.7257,112.3455,85
China,Shanghai,31.1015,121.3701,248
China,Shandong,36.3464,118.0429,359
China,Shaanxi,35.7434,109.5496,208
China,Qinghai,35.4964,96.1052,18
China,Ningxia,37.3426,105.986,42
China,Macau,,,10
China,Liaoning,41.1486,122.451,242
China,Jilin,43.6442,126.1692,89
China,Jiangxi,27.3189,115.4924,805
China,Jiangsu,32.9714,119.5828,495
China,Inner Mongolia,45.9377,119.0298,146
China,Hunan,27.4176,111.3884,884
China,Hong Kong,,,45
China,Henan,33.9126,113.0925,1036
China,Heilongjiang,48.7465,127.6013,281
China,Hebei,39.4094,115.652,201
China,Hainan,19.1638,109.6305,133
China,Guizhou,26.9463,106.6586,90
China,Guangxi,23.9155,108.9991,249
China,Guangdong,22.8962,112.4196,1228
China,Gansu,37.8668,102.2829,93
China,Fujian,25.9843,118.035,258
China,Chongqing,30.2037,107.8789,414
China,Beijing,40.2554,116.6397,300
China,Anhui,32.061,117.1516,788
