Symptoms,NumberofRecords
weakness,1
"vomiting, cough, fever, sore throat",1
transient fatigue,1
"weakness, runny nose, fever",1
"sputum, cough symptoms, fever, cough, breathing difficulty",1
"sore throat, fever, nasal discharge",1
"sore throat, fever",1
"sore throat, cough, fever",1
"sore throat, chills",1
sore throat,1
sore throat,1
respiratory infection,1
severe dyspnea,1
runny nose,1
"fever, cough",1
respiratory symptoms,2
poor physical condition,1
pneumonia,19
pneumonia,7
physical discomfort,1
pharynx,1
pharyngeal dryness,1
pharyngeal discomfort,1
esophageal reflux,1
"nausea, vomiting",2
"nausea, cough, pneumonia, fever",1
nausea,1
"myalgia, rhinorrhea",1
muscular soreness,1
mild,2
"malaise, headache",1
"malaise, fever, headache, toothache, pneumonia",1
low fever,1
"low fever, cough",1
low fever,1
lesions on chest radiographs,1
"headache, dry mouth",1
flu-like symptoms,2
"fever,sore throat, fatigue, diarrhea",1
"fever, sore throat,fatigue,vomiting",1
"fever, runny nose",1
"fever, nasal congestion, runny nose, sore throat, cough",1
"fever, fatigue, dry cough",1
"fever, fatigue",3
"fever, dry mouth, throat discomfort",1
"fever, dry cough, fatigue",1
"fever, cough, fatigue, nausea",1
"fever, cough",2
"fever, weak",2
"fever, sore throat, sputum",1
"fever, sore throat, mild cough",1
"fever, sore throat",3
"fever, sore muscle, weakness",2
"fever, sneeze",1
"fever, shortness of breath, pneumonia",1
"fever, severe pneumonia",1
"fever, runny nose",2
"fever, respiratory symptoms",2
"fever, pneumonia, sore throat",1
"fever, pharyngeal discomfort",1
"fever, pharyngalgia",1
"fever, myalgia, shortness of breath",1
"fever, myalgia",1
"fever, muscular soreness, rigor",1
"fever, joint pain, pneumonia",1
"fever, joint pain, muscle soreness",1
"fever, headache, runny nose",1
"fever, headache",2
"fever, full body slump",1
"fever, dry throat, sore throat",1
"fever, cough, phlegm, dyspnea",2
"fever, cough, phlegm",2
"fever, cough, headache",1
"fever, cough",6
"fever, cough",1
"fever, headache, malaise, joint pain",1
"fever, cough",1
"fever, malaise",1
fever,1
"fever, cough",1
"fever, joint pain",1
fever,1
"fever, cough, headache",1
"fever, fatigue, breathing difficulty",1
fever,1
"fever, malaise",1
